id,batsman,batsman_runs,bowling_team,Venue,runs_in_powerplay,runs_in_death,Innings,Bowler,Bowler_Type
335982,SC Ganguly,10,Royal Challengers Bangalore,M Chinnaswamy Stadium,10,0,1,Z Khan,Left arm medium pace
335982,BB McCullum,158,Royal Challengers Bangalore,M Chinnaswamy Stadium,41,59,1,not out,Not Out
335982,RT Ponting,20,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,0,1,JH Kallis,Right arm medium pace
335982,DJ Hussey,12,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,4,1,AA Noffke,Right arm medium pace
335982,Mohammad Hafeez,5,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,5,1,not out,Not Out
335982,R Dravid,2,Kolkata Knight Riders,M Chinnaswamy Stadium,2,0,2,I Sharma,Right arm medium pace
335982,W Jaffer,6,Kolkata Knight Riders,M Chinnaswamy Stadium,6,0,2,AB Dinda,Right arm medium pace
335982,V Kohli,1,Kolkata Knight Riders,M Chinnaswamy Stadium,1,0,2,AB Dinda,Right arm medium pace
335982,JH Kallis,8,Kolkata Knight Riders,M Chinnaswamy Stadium,8,0,2,AB Agarkar,Right arm medium pace
335982,CL White,6,Kolkata Knight Riders,M Chinnaswamy Stadium,1,0,2,AB Agarkar,Right arm medium pace
335982,MV Boucher,7,Kolkata Knight Riders,M Chinnaswamy Stadium,1,0,2,SC Ganguly,Right arm medium pace
335982,B Akhil,0,Kolkata Knight Riders,M Chinnaswamy Stadium,0,0,2,AB Agarkar,Right arm medium pace
335982,AA Noffke,9,Kolkata Knight Riders,M Chinnaswamy Stadium,0,0,2,SC Ganguly,Right arm medium pace
335982,P Kumar,18,Kolkata Knight Riders,M Chinnaswamy Stadium,0,0,2,not out,Not Out
335982,Z Khan,3,Kolkata Knight Riders,M Chinnaswamy Stadium,0,0,2,SC Ganguly,Right arm medium pace
335982,SB Joshi,3,Kolkata Knight Riders,M Chinnaswamy Stadium,0,0,2,LR Shukla,Right arm medium pace
335983,PA Patel,15,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",15,0,1,B Lee,Right arm medium pace
335983,ML Hayden,25,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",21,0,1,IK Pathan,Left arm medium pace
335983,MEK Hussey,116,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",14,42,1,not out,Not Out
335983,MS Dhoni,2,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",0,0,1,JR Hopes,Right arm medium pace
335983,SK Raina,32,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",0,0,1,WA Mota,Right arm medium pace
335983,JDP Oram,13,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",0,6,1,IK Pathan,Left arm medium pace
335983,S Badrinath,31,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",0,31,1,not out,Not Out
335983,K Goel,24,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",24,0,2,MS Gony,Right arm medium pace
335983,JR Hopes,71,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",37,0,2,P Amarnath,Right arm medium pace
335983,KC Sangakkara,54,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",0,16,2,M Muralitharan,Right arm off spin
335983,Yuvraj Singh,23,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",0,0,2,Joginder Sharma,Right arm medium pace
335983,SM Katich,21,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",0,20,2,not out,Not Out
335983,IK Pathan,3,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",0,3,2,not out,Not Out
335984,T Kohli,7,Delhi Daredevils,Feroz Shah Kotla,7,0,1,GD McGrath,Right arm medium pace
335984,YK Pathan,10,Delhi Daredevils,Feroz Shah Kotla,10,0,1,B Geeves,Right arm medium pace
335984,SR Watson,21,Delhi Daredevils,Feroz Shah Kotla,20,0,1,R Bhatia,Right arm medium pace
335984,M Kaif,9,Delhi Daredevils,Feroz Shah Kotla,1,0,1,R Bhatia,Right arm medium pace
