id,bowler,is_wicket,Bowler_Type
335982,AA Noffke,1,Right_medium
335982,AB Agarkar,3,Right_medium
335982,AB Dinda,2,Right_medium
335982,CL White,0,Right_leg
335982,I Sharma,1,Right_medium
335982,JH Kallis,1,Right_medium
335982,LR Shukla,1,Right_medium
335982,P Kumar,0,Right_medium
335982,SB Joshi,0,Left_leg
335982,SC Ganguly,3,Right_medium
335982,Z Khan,1,Left_medium
335983,B Lee,1,Right_medium
335983,IK Pathan,2,Left_medium
335983,JDP Oram,0,Right_medium
335983,Joginder Sharma,1,Right_medium
335983,JR Hopes,1,Right_medium
335983,K Goel,0,Right_off
335983,M Muralitharan,1,Right_off
335983,MS Gony,1,Right_medium
335983,P Amarnath,1,Right_medium
335983,PP Chawla,0,Right_leg
335983,S Sreesanth,0,Right_medium
335983,WA Mota,1,Right_medium
335984,B Geeves,1,Right_medium
335984,D Salunkhe,0,Right_leg
335984,DL Vettori,1,Left_off
335984,GD McGrath,1,Right_medium
335984,MF Maharoof,2,Right_medium
335984,MM Patel,0,Right_medium
335984,R Bhatia,3,Right_medium
335984,SK Trivedi,0,Right_medium
335984,SK Warne,0,Right_leg
335984,SR Watson,1,Right_medium
335984,YK Pathan,0,Right_off
335985,A Nehra,1,Left_medium
335985,AM Nayar,0,Right_medium
335985,B Akhil,2,Right_medium
335985,DS Kulkarni,1,Right_medium
335985,Harbhajan Singh,2,Right_off
335985,JH Kallis,0,Right_medium
335985,P Kumar,1,Right_medium
335985,R Vinay Kumar,0,Right_medium
335985,SB Joshi,0,Left_leg
335985,SM Pollock,0,Right_medium
335985,ST Jayasuriya,1,Left_leg
335985,Z Khan,4,Left_medium
335986,A Symonds,0,Right_off
335986,AB Agarkar,2,Right_medium
335986,AB Dinda,1,Right_medium
335986,DJ Hussey,1,Right_off
335986,I Sharma,1,Right_medium
335986,M Kartik,4,Left_off
335986,Mohammad Hafeez,1,Right_off
335986,PP Ojha,2,Left_off
335986,RP Singh,1,Left_medium
335986,SB Bangar,0,Right_medium
335986,SB Styris,0,Right_medium
335986,WPUJC Vaas,2,Left_medium
335987,B Lee,1,Right_medium
335987,D Salunkhe,1,Right_leg
335987,IK Pathan,1,Left_medium
335987,JR Hopes,1,Right_medium
335987,MM Patel,2,Right_medium
335987,Pankaj Singh,0,Right_medium
335987,PP Chawla,0,Right_leg
335987,S Sreesanth,1,Right_medium
335987,SK Trivedi,2,Right_medium
335987,SK Warne,3,Right_leg
335987,SR Watson,0,Right_medium
335987,WA Mota,0,Right_medium
335987,YK Pathan,0,Right_off
335988,A Symonds,0,Right_off
335988,GD McGrath,0,Right_medium
335988,MF Maharoof,2,Right_medium
335988,Mohammad Asif,2,Right_medium
335988,PP Ojha,0,Left_off
335988,R Bhatia,3,Right_medium
335988,RP Singh,1,Left_medium
335988,SB Bangar,0,Right_medium
335988,Shahid Afridi,0,Right_leg
335988,VY Mahesh,1,Right_medium
335988,WPUJC Vaas,0,Left_medium
335989,A Nehra,2,Left_medium
335989,AM Nayar,0,Right_medium
335989,DJ Bravo,0,Right_medium
335989,DS Kulkarni,1,Right_medium
335989,Harbhajan Singh,0,Right_off
335989,JDP Oram,1,Right_medium
335989,Joginder Sharma,2,Right_medium
335989,M Muralitharan,2,Right_off
335989,MA Khote,2,Right_medium
335989,MS Gony,1,Right_medium
335989,P Amarnath,1,Right_medium
335989,SM Pollock,0,Right_medium
335989,VS Yeligati,0,Right_medium
335990,A Symonds,0,Right_off
335990,D Kalyankrishna,1,Right_medium
335990,D Salunkhe,0,Right_leg
335990,MM Patel,0,Right_medium
335990,Pankaj Singh,0,Right_medium
335990,PP Ojha,0,Left_off
335990,RP Singh,2,Left_medium
335990,Shahid Afridi,3,Right_leg
335990,SK Trivedi,0,Right_medium
335990,SK Warne,2,Right_leg
335990,SR Watson,1,Right_medium
335990,WPUJC Vaas,1,Left_medium
335990,YK Pathan,2,Right_off
335991,A Nehra,2,Left_medium
335991,B Lee,2,Right_medium
335991,DJ Bravo,0,Right_medium
335991,DS Kulkarni,3,Right_medium
335991,Harbhajan Singh,4,Right_off
335991,IK Pathan,2,Left_medium
335991,MA Khote,0,Right_medium
335991,PP Chawla,2,Right_leg
335991,S Sreesanth,2,Right_medium
335991,SM Pollock,1,Right_medium
335991,VRV Singh,1,Right_medium
335992,A Kumble,0,Right_leg
335992,JH Kallis,0,Right_medium
335992,MM Patel,2,Right_medium
335992,P Kumar,1,Right_medium
335992,R Vinay Kumar,0,Right_medium
335992,SB Joshi,1,Left_leg
335992,SK Trivedi,1,Right_medium
335992,SK Warne,2,Right_leg
335992,Sohail Tanvir,0,Left_medium
335992,SR Watson,3,Right_medium
335992,YK Pathan,0,Right_off
335992,Z Khan,1,Left_medium
335993,AB Agarkar,1,Right_medium
335993,AB Dinda,0,Right_medium
335993,DJ Hussey,0,Right_off
335993,I Sharma,0,Right_medium
335993,JDP Oram,3,Right_medium
335993,Joginder Sharma,2,Right_medium
335993,LR Shukla,0,Right_medium
335993,M Kartik,0,Left_off
335993,M Muralitharan,0,Right_off
335993,Mohammad Hafeez,0,Right_off
335993,MS Gony,2,Right_medium
335993,P Amarnath,2,Right_medium
335994,A Nehra,0,Left_medium
335994,AM Nayar,0,Right_medium
335994,D Kalyankrishna,0,Right_medium
335994,DJ Bravo,0,Right_medium
335994,DNT Zoysa,1,Left_medium
335994,DS Kulkarni,0,Right_medium
335994,PP Ojha,0,Left_off
335994,RP Singh,2,Left_medium
335994,SB Bangar,2,Right_medium
335994,SD Chitnis,0,Right_off
335994,Shahid Afridi,2,Right_leg
335994,SM Pollock,0,Right_medium
335994,ST Jayasuriya,0,Left_leg
335995,B Lee,1,Right_medium
335995,GD McGrath,1,Right_medium
335995,IK Pathan,3,Left_medium
335995,MF Maharoof,0,Right_medium
335995,Mohammad Asif,2,Right_medium
335995,PP Chawla,0,Right_leg
335995,R Bhatia,1,Right_medium
335995,S Sreesanth,0,Right_medium
335995,Shoaib Malik,1,Right_off
335995,VRV Singh,3,Right_medium
335995,VY Mahesh,1,Right_medium
335995,Yuvraj Singh,1,Left_leg
335996,B Akhil,0,Right_medium
335996,DW Steyn,0,Right_medium
335996,JA Morkel,1,Right_medium
335996,JDP Oram,2,Right_medium
335996,JH Kallis,0,Right_medium
335996,Joginder Sharma,2,Right_medium
335996,MS Gony,3,Right_medium
335996,P Amarnath,2,Right_medium
335996,P Kumar,2,Right_medium
335996,Z Khan,3,Left_medium
335997,A Nehra,0,Left_medium
335997,AB Agarkar,1,Right_medium
335997,AB Dinda,1,Right_medium
335997,CRD Fernando,1,Right_medium
335997,DJ Bravo,1,Right_medium
335997,DS Kulkarni,0,Right_medium
335997,I Sharma,1,Right_medium
335997,LR Shukla,0,Right_medium
335997,M Kartik,0,Left_off
335997,Mohammad Hafeez,0,Right_off
335997,SC Ganguly,0,Right_medium
335997,SM Pollock,2,Right_medium
335997,ST Jayasuriya,4,Left_leg
335998,DL Vettori,1,Left_off
335998,DW Steyn,2,Right_medium
335998,GD McGrath,4,Right_medium
335998,JH Kallis,2,Right_medium
335998,Mohammad Asif,0,Right_medium
335998,P Kumar,0,Right_medium
335998,R Bhatia,0,Right_medium
335998,R Vinay Kumar,0,Right_medium
335998,SB Joshi,0,Left_leg
335998,Shoaib Malik,0,Right_off
335998,V Kohli,0,Right_medium
335998,V Sehwag,0,Right_off
335998,VY Mahesh,0,Right_medium
335998,Z Khan,1,Left_medium
335999,D Kalyankrishna,1,Right_medium
335999,DNT Zoysa,1,Left_medium
335999,Gagandeep Singh,1,Right_medium
335999,IK Pathan,2,Left_medium
335999,PP Chawla,4,Right_leg
335999,RP Singh,0,Left_medium
335999,S Sreesanth,1,Right_medium
335999,SB Bangar,1,Right_medium
335999,Shahid Afridi,0,Right_leg
335999,VRV Singh,0,Right_medium
335999,Y Venugopal Rao,0,Right_off
336000,AB Agarkar,1,Right_medium
336000,AB Dinda,0,Right_medium
336000,DJ Hussey,0,Right_off
336000,I Sharma,1,Right_medium
336000,LR Shukla,1,Right_medium
336000,MM Patel,0,Right_medium
336000,SC Ganguly,0,Right_medium
336000,SK Trivedi,3,Right_medium
336000,SK Warne,1,Right_leg
336000,Sohail Tanvir,3,Left_medium
336000,SR Watson,2,Right_medium
336000,Umar Gul,4,Right_medium
336000,YK Pathan,1,Right_off
336001,GD McGrath,1,Right_medium
336001,JA Morkel,0,Right_medium
336001,Joginder Sharma,1,Right_medium
336001,M Muralitharan,0,Right_off
336001,M Ntini,0,Right_medium
336001,Mohammad Asif,1,Right_medium
336001,MS Gony,1,Right_medium
336001,PJ Sangwan,1,Left_medium
336001,R Bhatia,1,Right_medium
336001,Shoaib Malik,0,Right_off
336001,V Sehwag,1,Right_off
336001,VY Mahesh,1,Right_medium
336002,A Kumble,1,Right_leg
336002,B Akhil,0,Right_medium
336002,DB Ravi Teja,1,Right_leg
336002,DP Vijaykumar,0,Right_medium
336002,DW Steyn,3,Right_medium
336002,JH Kallis,0,Right_medium
336002,LPC Silva,0,Right_leg
336002,R Vinay Kumar,4,Right_medium
336002,RP Singh,0,Left_medium
336002,SB Bangar,2,Right_medium
336002,V Kohli,2,Right_medium
336002,WPUJC Vaas,2,Left_medium
336002,Y Venugopal Rao,0,Right_off
336003,AB Agarkar,0,Right_medium
336003,AB Dinda,1,Right_medium
336003,DJ Hussey,2,Right_off
336003,Gagandeep Singh,1,Right_medium
336003,I Sharma,0,Right_medium
336003,IK Pathan,2,Left_medium
336003,JR Hopes,0,Right_medium
336003,Mohammad Hafeez,1,Right_off
336003,PP Chawla,0,Right_leg
336003,S Sreesanth,2,Right_medium
336003,Umar Gul,2,Right_medium
336003,VRV Singh,1,Right_medium
336004,A Nehra,3,Left_medium
336004,DJ Bravo,1,Right_medium
336004,DJ Thornely,1,Right_medium
336004,DS Kulkarni,3,Right_medium
336004,GD McGrath,0,Right_medium
336004,Mohammad Asif,1,Right_medium
336004,PJ Sangwan,1,Left_medium
336004,R Bhatia,1,Right_medium
336004,RR Raje,0,Right_medium
336004,Shoaib Malik,1,Right_off
336004,SM Pollock,2,Right_medium
336004,ST Jayasuriya,0,Left_leg
336004,V Sehwag,1,Right_off
336004,VY Mahesh,3,Right_medium
336005,JA Morkel,0,Right_medium
336005,M Muralitharan,1,Right_off
336005,M Ntini,0,Right_medium
336005,MM Patel,2,Right_medium
336005,MS Gony,0,Right_medium
336005,S Vidyut,1,Right_medium
336005,SK Raina,0,Right_off
336005,SK Trivedi,0,Right_medium
336005,SK Warne,1,Right_leg
336005,Sohail Tanvir,6,Left_medium
336005,SR Watson,1,Right_medium
336005,YK Pathan,0,Right_off
336006,A Kumble,0,Right_leg
336006,DW Steyn,0,Right_medium
336006,Gagandeep Singh,0,Right_medium
336006,IK Pathan,3,Left_medium
336006,JH Kallis,0,Right_medium
336006,JR Hopes,0,Right_medium
336006,P Kumar,2,Right_medium
336006,PP Chawla,3,Right_leg
336006,S Sreesanth,2,Right_medium
336006,VRV Singh,2,Right_medium
336006,Z Khan,2,Left_medium
336007,DP Vijaykumar,1,Right_medium
336007,JA Morkel,1,Right_medium
336007,Joginder Sharma,0,Right_medium
336007,M Muralitharan,1,Right_off
336007,M Ntini,0,Right_medium
336007,MS Gony,1,Right_medium
336007,PP Ojha,1,Left_off
336007,RP Singh,2,Left_medium
336007,SB Bangar,1,Right_medium
336007,SB Styris,1,Right_medium
336007,Shahid Afridi,1,Right_leg
336008,A Nehra,3,Left_medium
336008,DJ Bravo,2,Right_medium
336008,DS Kulkarni,2,Right_medium
336008,MM Patel,0,Right_medium
336008,RR Raje,2,Right_medium
336008,SK Trivedi,0,Right_medium
336008,SK Warne,1,Right_leg
336008,SM Pollock,1,Right_medium
336008,Sohail Tanvir,0,Left_medium
336008,SR Watson,2,Right_medium
336008,ST Jayasuriya,0,Left_leg
336009,CK Kapugedera,0,Right_medium
336009,GD McGrath,1,Right_medium
336009,JA Morkel,2,Right_medium
336009,L Balaji,2,Right_medium
336009,M Muralitharan,0,Right_off
336009,Mohammad Asif,1,Right_medium
336009,MS Gony,1,Right_medium
336009,P Amarnath,0,Right_medium
336009,PJ Sangwan,2,Left_medium
336009,Shoaib Malik,0,Right_off
336009,V Sehwag,0,Right_off
336009,VY Mahesh,2,Right_medium
336010,A Kumble,1,Right_leg
336010,AB Dinda,0,Right_medium
336010,DW Steyn,3,Right_medium
336010,I Sharma,1,Right_medium
336010,LR Shukla,0,Right_medium
336010,M Kartik,1,Left_off
336010,P Kumar,1,Right_medium
336010,R Vinay Kumar,1,Right_medium
336010,SC Ganguly,1,Right_medium
336010,Umar Gul,1,Right_medium
336010,Z Khan,1,Left_medium
336011,DP Vijaykumar,0,Right_medium
336011,MM Patel,1,Right_medium
336011,PP Ojha,1,Left_off
336011,RP Singh,1,Left_medium
336011,SB Bangar,0,Right_medium
336011,SB Styris,0,Right_medium
336011,Shahid Afridi,0,Right_leg
336011,SK Trivedi,2,Right_medium
336011,SK Warne,2,Right_leg
