id,bowler,wickets,venue,batting_team
335982,P Kumar,0,M Chinnaswamy Stadium,Kolkata Knight Riders
335982,Z Khan,1,M Chinnaswamy Stadium,Kolkata Knight Riders
335982,AA Noffke,1,M Chinnaswamy Stadium,Kolkata Knight Riders
335982,JH Kallis,1,M Chinnaswamy Stadium,Kolkata Knight Riders
335982,SB Joshi,0,M Chinnaswamy Stadium,Kolkata Knight Riders
335982,CL White,0,M Chinnaswamy Stadium,Kolkata Knight Riders
335982,AB Dinda,2,M Chinnaswamy Stadium,Royal Challengers Bangalore
335982,I Sharma,1,M Chinnaswamy Stadium,Royal Challengers Bangalore
335982,AB Agarkar,3,M Chinnaswamy Stadium,Royal Challengers Bangalore
335982,SC Ganguly,3,M Chinnaswamy Stadium,Royal Challengers Bangalore
335982,LR Shukla,1,M Chinnaswamy Stadium,Royal Challengers Bangalore
335983,B Lee,1,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings
335983,S Sreesanth,0,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings
335983,JR Hopes,1,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings
335983,IK Pathan,2,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings
335983,K Goel,0,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings
335983,PP Chawla,0,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings
335983,WA Mota,1,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings
335983,JDP Oram,0,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
335983,MS Gony,1,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
335983,M Muralitharan,1,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
335983,P Amarnath,1,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
335983,Joginder Sharma,1,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
335984,GD McGrath,1,Feroz Shah Kotla,Rajasthan Royals
335984,B Geeves,1,Feroz Shah Kotla,Rajasthan Royals
335984,MF Maharoof,2,Feroz Shah Kotla,Rajasthan Royals
335984,R Bhatia,3,Feroz Shah Kotla,Rajasthan Royals
335984,DL Vettori,1,Feroz Shah Kotla,Rajasthan Royals
335984,MM Patel,0,Feroz Shah Kotla,Delhi Daredevils
335984,SR Watson,1,Feroz Shah Kotla,Delhi Daredevils
335984,SK Trivedi,0,Feroz Shah Kotla,Delhi Daredevils
335984,SK Warne,0,Feroz Shah Kotla,Delhi Daredevils
335984,YK Pathan,0,Feroz Shah Kotla,Delhi Daredevils
335984,D Salunkhe,0,Feroz Shah Kotla,Delhi Daredevils
335985,P Kumar,1,Wankhede Stadium,Mumbai Indians
335985,Z Khan,4,Wankhede Stadium,Mumbai Indians
335985,JH Kallis,0,Wankhede Stadium,Mumbai Indians
335985,R Vinay Kumar,0,Wankhede Stadium,Mumbai Indians
