bowler,bowling_type
AA Noffke,Right_medium
AB Agarkar,Right_medium
AB Dinda,Right_medium
CL White,Right_leg
I Sharma,Right_medium
JH Kallis,Right_medium
LR Shukla,Right_medium
P Kumar,Right_medium
SB Joshi,Left_leg
SC Ganguly,Right_medium
Z Khan,Left_medium
B Lee,Right_medium
IK Pathan,Left_medium
JDP Oram,Right_medium
Joginder Sharma,Right_medium
JR Hopes,Right_medium
K Goel,Right_off
M Muralitharan,Right_off
MS Gony,Right_medium
P Amarnath,Right_medium
PP Chawla,Right_leg
S Sreesanth,Right_medium
WA Mota,Right_medium
B Geeves,Right_medium
D Salunkhe,Right_leg
DL Vettori,Left_off
GD McGrath,Right_medium
MF Maharoof,Right_medium
MM Patel,Right_medium
R Bhatia,Right_medium
SK Trivedi,Right_medium
SK Warne,Right_leg
SR Watson,Right_medium
YK Pathan,Right_off
A Nehra,Left_medium
AM Nayar,Right_medium
B Akhil,Right_medium
DS Kulkarni,Right_medium
Harbhajan Singh,Right_off
R Vinay Kumar,Right_medium
SM Pollock,Right_medium
ST Jayasuriya,Left_leg
A Symonds,Right_off
DJ Hussey,Right_off
M Kartik,Left_off
Mohammad Hafeez,Right_off
PP Ojha,Left_off
RP Singh,Left_medium
SB Bangar,Right_medium
SB Styris,Right_medium
WPUJC Vaas,Left_medium
Pankaj Singh,Right_medium
Mohammad Asif,Right_medium
Shahid Afridi,Right_leg
VY Mahesh,Right_medium
DJ Bravo,Right_medium
MA Khote,Right_medium
VS Yeligati,Right_medium
D Kalyankrishna,Right_medium
VRV Singh,Right_medium
A Kumble,Right_leg
Sohail Tanvir,Left_medium
DNT Zoysa,Left_medium
SD Chitnis,Right_off
Shoaib Malik,Right_off
Yuvraj Singh,Left_leg
DW Steyn,Right_medium
JA Morkel,Right_medium
CRD Fernando,Right_medium
V Kohli,Right_medium
V Sehwag,Right_off
Gagandeep Singh,Right_medium
Y Venugopal Rao,Right_off
Umar Gul,Right_medium
M Ntini,Right_medium
PJ Sangwan,Left_medium
DB Ravi Teja,Right_leg
DP Vijaykumar,Right_medium
LPC Silva,Right_leg
DJ Thornely,Right_medium
RR Raje,Right_medium
S Vidyut,Right_medium
SK Raina,Right_off
CK Kapugedera,Right_medium
L Balaji,Right_medium
DR Smith,Right_medium
A Mishra,Right_leg
AD Mascarenhas,Right_medium
Iqbal Abdulla,Left_off
Shoaib Akhtar,Right_medium
RR Powar,Right_off
PM Sarvesh Kumar,Right_medium
Abdur Razzak,Left_leg
RA Jadeja,Left_leg
TM Dilshan,Right_off
RG Sharma,Right_off
A Nel,Right_medium
BAW Mendis,Right_off
A Flintoff,Right_medium
SL Malinga,Right_medium
T Thushara,Left_medium
JD Ryder,Right_medium
Kamran Khan,Left_medium
T Henderson,Right_medium
AM Salvi,Right_medium
